Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr4211823109,Egypt,"Apr 4, 2012",34270,251098,Titanic,4.31,64647431.33,0.016740532
gr4211823109,Indonesia,"Apr 4, 2012",179122,474937,Titanic,3.87,195087678.2,0.009421437
gr4211823109,Australia,"Apr 5, 2012",1781349,7220497,Titanic,15.19,18498005,5.929252881
gr4211823109,Denmark,"Apr 5, 2012",342816,1156246,Titanic,16.47,5314090.167,3.583562006
gr4211823109,New Zealand,"Apr 5, 2012",269728,877947,Titanic,13.38,3735745.333,3.144467787
gr4211823109,Hong Kong,"Apr 5, 2012",593637,1679685,Titanic,9.66,5919207.167,2.741204463
gr4211823109,Czech Republic,"Apr 5, 2012",147330,3524061,Titanic,7.48,10340416.5,2.54921804
gr4211823109,Singapore,"Apr 5, 2012",300338,989950,Titanic,8.68,3751220.333,2.290658835
gr4211823109,Netherlands,"Apr 5, 2012",759586,2697743,Titanic,12.29,15309963.83,2.165600248
gr4211823109,Austria,"Apr 5, 2012",356450,1335656,Titanic,12.29,8055927.167,2.037656486
gr4211823109,Germany,"Apr 5, 2012",2971737,9902323,Titanic,12.29,80321215.83,1.515160701
gr4211823109,United Arab Emirates,"Apr 5, 2012",238304,530270,Titanic,9.53,4109484.5,1.229709736
gr4211823109,Israel,"Apr 5, 2012",92737,524262,Titanic,10.8,5485158.667,1.032245363
gr4211823109,Russia,"Apr 5, 2012",5189971,13361254,Titanic,8.3,141925333,0.781385577
